date,hour,Num_Crashes,day
2020-07-28,2,2,Tuesday
2020-07-28,3,2,Tuesday
2020-07-28,4,2,Tuesday
2020-07-28,5,0,Tuesday
2020-07-28,6,0,Tuesday
2020-07-28,7,1,Tuesday
2020-07-28,8,2,Tuesday
2020-07-28,9,0,Tuesday
2020-07-28,10,2,Tuesday
2020-07-28,11,1,Tuesday
2020-07-28,12,1,Tuesday
2020-07-28,13,2,Tuesday
2020-07-28,14,0,Tuesday
2020-07-28,15,1,Tuesday
2020-07-28,16,0,Tuesday
2020-07-28,17,4,Tuesday
2020-07-28,18,0,Tuesday
2020-07-28,19,1,Tuesday
2020-07-28,20,1,Tuesday
2020-07-28,21,1,Tuesday
2020-07-28,22,0,Tuesday
2020-07-28,23,0,Tuesday
2020-07-29,0,0,Wednesday
2020-07-29,1,0,Wednesday
2020-07-29,2,0,Wednesday
2020-07-29,3,1,Wednesday
2020-07-29,4,0,Wednesday
2020-07-29,5,1,Wednesday
2020-07-29,6,1,Wednesday
2020-07-29,7,1,Wednesday
2020-07-29,8,0,Wednesday
2020-07-29,9,2,Wednesday
2020-07-29,10,2,Wednesday
2020-07-29,11,1,Wednesday
2020-07-29,12,0,Wednesday
2020-07-29,13,0,Wednesday
2020-07-29,14,2,Wednesday
2020-07-29,15,2,Wednesday
2020-07-29,16,1,Wednesday
2020-07-29,17,1,Wednesday
2020-07-29,18,4,Wednesday
2020-07-29,19,3,Wednesday
2020-07-29,20,3,Wednesday
2020-07-29,21,1,Wednesday
2020-07-29,22,1,Wednesday
2020-07-29,23,0,Wednesday
2020-07-30,0,1,Thursday
2020-07-30,1,2,Thursday
2020-07-30,2,0,Thursday
2020-07-30,3,0,Thursday
2020-07-30,4,0,Thursday
2020-07-30,5,1,Thursday
2020-07-30,6,0,Thursday
2020-07-30,7,0,Thursday
2020-07-30,8,3,Thursday
2020-07-30,9,2,Thursday
2020-07-30,10,2,Thursday
2020-07-30,11,2,Thursday
2020-07-30,12,3,Thursday
2020-07-30,13,0,Thursday
2020-07-30,14,1,Thursday
2020-07-30,15,1,Thursday
2020-07-30,16,4,Thursday
2020-07-30,17,2,Thursday
2020-07-30,18,2,Thursday
2020-07-30,19,1,Thursday
2020-07-30,20,1,Thursday
2020-07-30,21,2,Thursday
2020-07-30,22,0,Thursday
2020-07-30,23,0,Thursday
2020-07-31,0,2,Friday
2020-07-31,1,1,Friday
2020-07-31,2,0,Friday
2020-07-31,3,0,Friday
2020-07-31,4,1,Friday
2020-07-31,5,0,Friday
2020-07-31,6,0,Friday
2020-07-31,7,2,Friday
2020-07-31,8,0,Friday
2020-07-31,9,1,Friday
2020-07-31,10,4,Friday
2020-07-31,11,0,Friday
2020-07-31,12,2,Friday
2020-07-31,13,1,Friday
2020-07-31,14,0,Friday
2020-07-31,15,4,Friday
2020-07-31,16,3,Friday
2020-07-31,17,3,Friday
2020-07-31,18,2,Friday
2020-07-31,19,1,Friday
2020-07-31,20,1,Friday
2020-07-31,21,1,Friday
2020-07-31,22,0,Friday
2020-07-31,23,2,Friday
2020-08-03,0,2,Monday
2020-08-03,1,0,Monday
2020-08-03,2,2,Monday
2020-08-03,3,0,Monday
2020-08-03,4,1,Monday
2020-08-03,5,0,Monday
2020-08-03,6,1,Monday
2020-08-03,7,0,Monday
2020-08-03,8,1,Monday
2020-08-03,9,2,Monday
2020-08-03,10,1,Monday
2020-08-03,11,0,Monday
2020-08-03,12,2,Monday
2020-08-03,13,2,Monday
2020-08-03,14,1,Monday
2020-08-03,15,1,Monday
2020-08-03,16,1,Monday
2020-08-03,17,0,Monday
2020-08-03,18,4,Monday
2020-08-03,19,3,Monday
2020-08-03,20,3,Monday
2020-08-03,21,2,Monday
2020-08-03,22,1,Monday
2020-08-03,23,0,Monday
2020-08-04,0,1,Tuesday
2020-08-04,1,1,Tuesday
2020-08-04,2,1,Tuesday
2020-08-04,3,1,Tuesday
2020-08-04,4,1,Tuesday
2020-08-04,5,0,Tuesday
2020-08-04,6,0,Tuesday
2020-08-04,7,1,Tuesday
2020-08-04,8,0,Tuesday
2020-08-04,9,1,Tuesday
2020-08-04,10,0,Tuesday
2020-08-04,11,2,Tuesday
2020-08-04,12,0,Tuesday
2020-08-04,13,1,Tuesday
2020-08-04,14,2,Tuesday
2020-08-04,15,3,Tuesday
2020-08-04,16,2,Tuesday
2020-08-04,17,0,Tuesday
2020-08-04,18,2,Tuesday
2020-08-04,19,2,Tuesday
2020-08-04,20,1,Tuesday
2020-08-04,21,0,Tuesday
2020-08-04,22,2,Tuesday
2020-08-04,23,1,Tuesday
2020-08-05,0,3,Wednesday
2020-08-05,1,0,Wednesday
2020-08-05,2,0,Wednesday
2020-08-05,3,0,Wednesday
2020-08-05,4,0,Wednesday
2020-08-05,5,0,Wednesday
2020-08-05,6,2,Wednesday
2020-08-05,7,1,Wednesday
2020-08-05,8,1,Wednesday
2020-08-05,9,2,Wednesday
2020-08-05,10,3,Wednesday
2020-08-05,11,1,Wednesday
2020-08-05,12,0,Wednesday
2020-08-05,13,1,Wednesday
2020-08-05,14,1,Wednesday
2020-08-05,15,1,Wednesday
2020-08-05,16,2,Wednesday
2020-08-05,17,1,Wednesday
2020-08-05,18,4,Wednesday
2020-08-05,19,2,Wednesday
2020-08-05,20,0,Wednesday
2020-08-05,21,3,Wednesday
2020-08-05,22,1,Wednesday
2020-08-05,23,2,Wednesday
2020-08-06,0,0,Thursday
2020-08-06,1,0,Thursday
2020-08-06,2,0,Thursday
2020-08-06,3,1,Thursday
2020-08-06,4,0,Thursday
2020-08-06,5,0,Thursday
2020-08-06,6,0,Thursday
2020-08-06,7,1,Thursday
2020-08-06,8,1,Thursday
2020-08-06,9,1,Thursday
2020-08-06,10,1,Thursday
2020-08-06,11,2,Thursday
2020-08-06,12,2,Thursday
2020-08-06,13,4,Thursday
2020-08-06,14,0,Thursday
2020-08-06,15,2,Thursday
2020-08-06,16,2,Thursday
2020-08-06,17,5,Thursday
2020-08-06,18,3,Thursday
2020-08-06,19,2,Thursday
2020-08-06,20,3,Thursday
2020-08-06,21,3,Thursday
2020-08-06,22,2,Thursday
2020-08-06,23,1,Thursday
2020-08-07,0,0,Friday
2020-08-07,1,1,Friday
2020-08-07,2,1,Friday
2020-08-07,3,1,Friday
2020-08-07,4,1,Friday
2020-08-07,5,0,Friday
2020-08-07,6,1,Friday
2020-08-07,7,2,Friday
2020-08-07,8,1,Friday
2020-08-07,9,1,Friday
2020-08-07,10,1,Friday
2020-08-07,11,2,Friday
2020-08-07,12,0,Friday
2020-08-07,13,4,Friday
2020-08-07,14,2,Friday
2020-08-07,15,0,Friday
2020-08-07,16,2,Friday
2020-08-07,17,1,Friday
2020-08-07,18,5,Friday
2020-08-07,19,1,Friday
2020-08-07,20,3,Friday
2020-08-07,21,0,Friday
2020-08-07,22,4,Friday
2020-08-07,23,1,Friday
2020-08-10,0,0,Monday
2020-08-10,1,2,Monday
2020-08-10,2,2,Monday
2020-08-10,3,0,Monday
2020-08-10,4,3,Monday
2020-08-10,5,0,Monday
2020-08-10,6,1,Monday
2020-08-10,7,1,Monday
2020-08-10,8,1,Monday
2020-08-10,9,1,Monday
2020-08-10,10,3,Monday
2020-08-10,11,1,Monday
2020-08-10,12,3,Monday
2020-08-10,13,3,Monday
2020-08-10,14,5,Monday
2020-08-10,15,1,Monday
2020-08-10,16,4,Monday
2020-08-10,17,3,Monday
2020-08-10,18,0,Monday
2020-08-10,19,2,Monday
2020-08-10,20,4,Monday
2020-08-10,21,1,Monday
2020-08-10,22,0,Monday
2020-08-10,23,0,Monday
2020-08-11,0,4,Tuesday
2020-08-11,1,0,Tuesday
2020-08-11,2,1,Tuesday
2020-08-11,3,0,Tuesday
2020-08-11,4,4,Tuesday
2020-08-11,5,2,Tuesday
2020-08-11,6,2,Tuesday
2020-08-11,7,1,Tuesday
2020-08-11,8,0,Tuesday
2020-08-11,9,0,Tuesday
2020-08-11,10,1,Tuesday
2020-08-11,11,1,Tuesday
2020-08-11,12,2,Tuesday
2020-08-11,13,0,Tuesday
2020-08-11,14,3,Tuesday
2020-08-11,15,1,Tuesday
2020-08-11,16,2,Tuesday
2020-08-11,17,2,Tuesday
2020-08-11,18,1,Tuesday
2020-08-11,19,1,Tuesday
2020-08-11,20,7,Tuesday
2020-08-11,21,2,Tuesday
2020-08-11,22,3,Tuesday
2020-08-11,23,2,Tuesday
2020-08-12,0,2,Wednesday
2020-08-12,1,0,Wednesday
2020-08-12,2,1,Wednesday
2020-08-12,3,0,Wednesday
2020-08-12,4,0,Wednesday
2020-08-12,5,1,Wednesday
2020-08-12,6,1,Wednesday
2020-08-12,7,0,Wednesday
2020-08-12,8,4,Wednesday
2020-08-12,9,1,Wednesday
2020-08-12,10,2,Wednesday
2020-08-12,11,0,Wednesday
2020-08-12,12,1,Wednesday
2020-08-12,13,1,Wednesday
2020-08-12,14,2,Wednesday
2020-08-12,15,3,Wednesday
2020-08-12,16,2,Wednesday
2020-08-12,17,1,Wednesday
2020-08-12,18,1,Wednesday
2020-08-12,19,1,Wednesday
2020-08-12,20,0,Wednesday
2020-08-12,21,2,Wednesday
2020-08-12,22,0,Wednesday
2020-08-12,23,0,Wednesday
2020-08-13,0,0,Thursday
2020-08-13,1,0,Thursday
2020-08-13,2,0,Thursday
2020-08-13,3,1,Thursday
2020-08-13,4,0,Thursday
2020-08-13,5,0,Thursday
2020-08-13,6,1,Thursday
2020-08-13,7,1,Thursday
2020-08-13,8,2,Thursday
2020-08-13,9,2,Thursday
2020-08-13,10,4,Thursday
2020-08-13,11,2,Thursday
2020-08-13,12,3,Thursday
2020-08-13,13,0,Thursday
2020-08-13,14,2,Thursday
2020-08-13,15,1,Thursday
2020-08-13,16,2,Thursday
2020-08-13,17,2,Thursday
2020-08-13,18,4,Thursday
2020-08-13,19,1,Thursday
2020-08-13,20,0,Thursday
2020-08-13,21,2,Thursday
2020-08-13,22,2,Thursday
2020-08-13,23,1,Thursday
2020-08-14,0,1,Friday
2020-08-14,1,1,Friday
2020-08-14,2,1,Friday
2020-08-14,3,0,Friday
2020-08-14,4,0,Friday
2020-08-14,5,0,Friday
2020-08-14,6,2,Friday
2020-08-14,7,3,Friday
2020-08-14,8,3,Friday
2020-08-14,9,0,Friday
2020-08-14,10,0,Friday
2020-08-14,11,0,Friday
2020-08-14,12,0,Friday
2020-08-14,13,0,Friday
2020-08-14,14,0,Friday
2020-08-14,15,1,Friday
2020-08-14,16,2,Friday
2020-08-14,17,4,Friday
2020-08-14,18,6,Friday
2020-08-14,19,0,Friday
2020-08-14,20,2,Friday
2020-08-14,21,1,Friday
2020-08-14,22,0,Friday
2020-08-14,23,0,Friday
2020-08-17,0,4,Monday
2020-08-17,1,0,Monday
2020-08-17,2,1,Monday
2020-08-17,3,0,Monday
2020-08-17,4,0,Monday
2020-08-17,5,4,Monday
2020-08-17,6,1,Monday
2020-08-17,7,0,Monday
2020-08-17,8,1,Monday
2020-08-17,9,0,Monday
2020-08-17,10,1,Monday
2020-08-17,11,0,Monday
2020-08-17,12,1,Monday
2020-08-17,13,0,Monday
2020-08-17,14,1,Monday
2020-08-17,15,1,Monday
2020-08-17,16,5,Monday
2020-08-17,17,0,Monday
2020-08-17,18,1,Monday
2020-08-17,19,3,Monday
2020-08-17,20,3,Monday
2020-08-17,21,2,Monday
2020-08-17,22,0,Monday
2020-08-17,23,0,Monday
2020-08-18,0,5,Tuesday
2020-08-18,1,0,Tuesday
2020-08-18,2,0,Tuesday
2020-08-18,3,0,Tuesday
2020-08-18,4,4,Tuesday
2020-08-18,5,1,Tuesday
2020-08-18,6,0,Tuesday
